Name,Location,Short Description,YC Batch,Company URL,Founders
Reshape Biotech,"Copenhagen, Denmark",Robots that automate the everyday tasks of microbiologists.,W21,http://reshapebiotech.com/,Carl-Emil Grøn Christensen (LinkedIn: https://www.linkedin.com/in/carlemilg/); Magnus Nyborg Madsen (LinkedIn: https://www.linkedin.com/in/magnusnm/); Daniel Storgaard (LinkedIn: https://linkedin.com/in/danielstor)
PipeBio,"Aarhus, Denmark",PipeBio is a SaaS bioinformatics platform to develop antibody drugs.,W21,https://pipebio.com,Owen Bodley (LinkedIn: https://www.linkedin.com/in/owen-bodley/); Jannick Bendtsen (LinkedIn: https://www.linkedin.com/in/jannickbendtsen/)
