Name,Location,Short Description,YC Batch,Company URL,Founders
Reshape Biotech,"Copenhagen, Denmark",Robots that automate the everyday tasks of microbiologists.,W21,http://reshapebiotech.com/,Carl-Emil Grøn Christensen (LinkedIn: https://www.linkedin.com/in/carlemilg/); Magnus Nyborg Madsen (LinkedIn: https://www.linkedin.com/in/magnusnm/); Daniel Storgaard (LinkedIn: https://linkedin.com/in/danielstor)
PipeBio,"Aarhus, Denmark",PipeBio is a SaaS bioinformatics platform to develop antibody drugs.,W21,https://pipebio.com,Owen Bodley (LinkedIn: https://www.linkedin.com/in/owen-bodley/); Jannick Bendtsen (LinkedIn: https://www.linkedin.com/in/jannickbendtsen/)
Kilobaser,"Graz, Styria, Austria",Desktop DNA Printer. The Nespresso Machine for DNA.,W21,https://www.kilobaser.com,Alexander Murer (LinkedIn: https://www.linkedin.com/in/alexander-murer-ab76aa97/); Martin Jost (LinkedIn: https://www.linkedin.com/in/martinjost/); Bernhard Tittelbach (LinkedIn: https://www.linkedin.com/in/bernhard-tittelbach-a903a696/)
My NextDerma,"Zapopan, Jal., Mexico",Dermatology telehealth app for LatAm,W21,https://mynextderma.com,Saul Armando Lepe Soltero (LinkedIn: https://www.linkedin.com/mwlite/in/armando-soltero-603b6a201); Luis Alberto Guevara Mendoza (LinkedIn: https://www.linkedin.com/in/luis-alberto-guevara-mendoza-23511656/); Enrique Ibarra (LinkedIn: )
Triomics,"San Francisco, CA, USA",Intelligent automation in Oncology Research and Care,W21,https://triomics.com/,Sarim Khan (LinkedIn: https://www.linkedin.com/in/sarim-khan-b54485137/); Sajjan Rajpurohit (LinkedIn: https://in.linkedin.com/in/dr-sajjan-rajpurohit-b2994b36); Hrituraj Singh (LinkedIn: https://linkedin.com/in/hrituraj1997)
Nuntius Therapeutics,"London, England, United Kingdom",Cell-specific genetic medicines,W21,http://www.nuntiustx.com,Benita Nagel (LinkedIn: https://www.linkedin.com/in/benita-nagel-a71ba879/); Albert Kwok (LinkedIn: https://www.linkedin.com/in/albert-kwok-1344a858/)
Forcyte Biotechnologies,"Los Angeles, CA, USA","Discover drugs that control how much cells ""squeeze"" to treat disease",W21,https://forcytebio.com/,Ivan Pushkarsky (LinkedIn: https://www.linkedin.com/in/ivan-pushkarsky-a698663a/); Dino Di Carlo (LinkedIn: https://www.linkedin.com/in/dino-di-carlo/)
Recover,"San Diego, CA, USA",Government-funded online addiction treatment,W21,https://www.letsrecover.com,Nick Gulino (LinkedIn: https://www.linkedin.com/in/nick-gulino-aa680a7a)
Rejoy Health,"Palo Alto, CA, USA",AI tools and LLM for Healthcare,W21,https://www.rejoyhealth.com/,Rituraj Yadav (LinkedIn: https://www.linkedin.com/in/rituraj0/); Ritu Ranjna (LinkedIn: https://www.linkedin.com/in/rituranjna/)
Zealth,"Bengaluru, KA, India",Software for remote monitoring of cancer patients,W21,https://zealth-ai.com/,Monika Mehta (LinkedIn: https://linkedin.com/in/monika-mehta-657ba786); Dheeraj Mundhra (LinkedIn: https://linkedin.com/in/dmundhra)
